test,station,model,MAE,RMSE,R2
A_central,Silk_Board_Bengaluru_KSPCB,RandomForestRegressor,18.24954975857856,25.549203700731223,-0.997031639040457
B_peripheral,Jigani_Bengaluru,RandomForestRegressor,21.81581202984346,57.28472767904257,-0.005947816487552826
C_LOSO,Hebbal_Bengaluru,RandomForestRegressor,25.811996936757623,33.472444563878355,-1.587159903772915
C_LOSO,Jigani_Bengaluru,RandomForestRegressor,21.81581202984346,57.28472767904257,-0.005947816487552826
C_LOSO,Kasturi_Nagar_Bengaluru_KSPCB,RandomForestRegressor,11.866008871491632,31.63390568457913,-0.2665307602785534
C_LOSO,RVCE-Mailasandra_Bengaluru,RandomForestRegressor,15.53680554607693,27.49669283532312,-0.5658645617573126
C_LOSO,Shivapura_Peenya_Bengaluru_KSPCB,RandomForestRegressor,15.50680827189144,26.502278905330922,-0.329492950244586
C_LOSO,Silk_Board_Bengaluru_KSPCB,RandomForestRegressor,18.24954975857856,25.549203700731223,-0.997031639040457
