test,station,model,MAE,RMSE,R2
A_central,Silk_Board_Bengaluru_KSPCB,CatBoostRegressor,18.159376478285385,33.21155576818625,-2.3744939057424608
B_peripheral,Jigani_Bengaluru,CatBoostRegressor,21.64756162270057,57.053471784795235,0.002157722634336001
C_LOSO,Hebbal_Bengaluru,CatBoostRegressor,23.132773593546272,28.602956088699692,-0.8891665561253681
C_LOSO,Jigani_Bengaluru,CatBoostRegressor,21.64756162270057,57.053471784795235,0.002157722634336001
C_LOSO,Kasturi_Nagar_Bengaluru_KSPCB,CatBoostRegressor,10.779532056663136,30.611805289871413,-0.186009029939054
C_LOSO,RVCE-Mailasandra_Bengaluru,CatBoostRegressor,15.567731567906671,27.074191725363306,-0.518113600493403
C_LOSO,Shivapura_Peenya_Bengaluru_KSPCB,CatBoostRegressor,15.340429681517545,26.528081767539028,-0.3320830235904544
C_LOSO,Silk_Board_Bengaluru_KSPCB,CatBoostRegressor,18.159376478285385,33.21155576818625,-2.3744939057424608
