test,station,model,MAE,RMSE,R2
A_central,Silk_Board_Bengaluru_KSPCB,XGBRegressor,19.425407063097115,28.73068184245022,-1.525352883606101
B_peripheral,Jigani_Bengaluru,XGBRegressor,22.31197361504332,57.66530381035454,-0.019358422021771737
C_LOSO,Hebbal_Bengaluru,XGBRegressor,24.649030026228207,30.84285454375419,-1.1966331903933916
C_LOSO,Jigani_Bengaluru,XGBRegressor,22.31197361504332,57.66530381035454,-0.019358422021771737
C_LOSO,Kasturi_Nagar_Bengaluru_KSPCB,XGBRegressor,12.832524684964323,33.212583632389354,-0.3960964832067617
C_LOSO,RVCE-Mailasandra_Bengaluru,XGBRegressor,17.42045942712743,31.869527195200753,-1.103509665650455
C_LOSO,Shivapura_Peenya_Bengaluru_KSPCB,XGBRegressor,18.468804423028118,30.229385671472297,-0.7297296960021051
C_LOSO,Silk_Board_Bengaluru_KSPCB,XGBRegressor,19.425407063097115,28.73068184245022,-1.525352883606101
