iter	RMSE
0	34.53783028
1	34.25796386
2	34.00543541
3	33.83336835
4	33.65544644
5	33.43696684
6	33.31119931
7	33.20050261
8	33.05779113
9	32.94166468
10	32.83942256
11	32.74432474
12	32.69002741
13	32.56291419
14	32.49951063
15	32.41872916
16	32.36973978
17	32.29831197
18	32.22558909
19	32.17794789
20	32.13338612
21	32.08191727
22	32.01469808
23	31.97637643
24	31.84987419
25	31.78916762
26	31.71752481
27	31.6539176
28	31.60103631
29	31.56278876
30	31.53747842
31	31.50905554
32	31.46957186
33	31.40175969
34	31.37883623
35	31.34524669
36	31.31199354
37	31.2706437
38	31.24532223
39	31.21679417
40	31.18572462
41	31.16345873
42	31.13631341
43	31.00207981
44	30.97601833
45	30.93761301
46	30.91330139
47	30.88817187
48	30.86873461
49	30.84015433
50	30.8117294
51	30.78877134
52	30.74977288
53	30.6992915
54	30.69154854
55	30.641978
56	30.62371013
57	30.60209195
58	30.59157147
59	30.56492258
60	30.54466425
61	30.53922187
62	30.51586575
63	30.4982031
64	30.47543665
65	30.44118396
66	30.42393926
67	30.39986612
68	30.37967729
69	30.35915704
70	30.34650183
71	30.33512281
72	30.32406898
73	30.29186218
74	30.26723541
75	30.22204826
76	30.19269141
77	30.17576066
78	30.15541204
79	30.10806754
80	30.08119609
81	30.06032978
82	30.0406454
83	30.01533169
84	29.97957591
85	29.95145162
86	29.93736928
87	29.92750008
88	29.90100758
89	29.87555568
90	29.85009303
91	29.82933849
92	29.81145895
93	29.68976853
94	29.66898131
95	29.63655805
96	29.62132764
97	29.55240375
98	29.53788589
99	29.50758262
100	29.49175895
101	29.46206435
102	29.44615539
103	29.42916282
104	29.41623906
105	29.32928331
106	29.28537038
107	29.27418995
108	29.25459661
109	29.17693631
110	29.12775185
111	29.11147311
112	29.09009641
113	29.06409499
114	29.0500725
115	29.0433439
116	29.01953322
117	29.01044063
118	28.94588947
119	28.93918537
120	28.92717085
121	28.91866577
122	28.89973101
123	28.89419045
124	28.87651693
125	28.86112468
126	28.82205096
127	28.78532312
128	28.77971221
129	28.77452987
130	28.77003711
131	28.75682052
132	28.75263361
133	28.74742239
134	28.7393917
135	28.73547734
136	28.70345999
137	28.66095171
138	28.62622392
139	28.62255643
140	28.58047922
141	28.56928973
142	28.54980415
143	28.49717965
144	28.49372458
145	28.48155566
146	28.4653771
147	28.41824204
148	28.40663576
149	28.40339118
150	28.39249701
151	28.37858462
152	28.36644359
153	28.34138662
154	28.33052502
155	28.32750528
156	28.31362861
157	28.28841738
158	28.25663057
159	28.2162141
160	28.21334966
161	28.21066735
162	28.20204816
163	28.19406507
164	28.13922074
165	28.1366935
166	28.1256545
167	28.11094634
168	28.09548617
169	28.07986324
170	28.03609158
171	28.00389166
172	27.98125865
173	27.970513
174	27.94383543
175	27.93421423
176	27.9318817
177	27.89856805
178	27.89068214
179	27.86078588
180	27.85861125
181	27.8182212
182	27.81254028
183	27.77770329
184	27.75109581
185	27.73917669
186	27.73697814
187	27.71387256
188	27.70180251
189	27.68007943
190	27.67008789
191	27.66138375
192	27.6246459
193	27.62158198
194	27.61092079
195	27.60907821
196	27.5981938
197	27.5875167
198	27.57470207
199	27.55636118
200	27.54953697
201	27.54320296
202	27.53427698
203	27.5146879
204	27.48490932
205	27.47434838
206	27.43211659
207	27.40250147
208	27.38283026
209	27.35147066
210	27.34936849
211	27.33731658
212	27.33184965
213	27.32461476
214	27.31459803
215	27.29828295
216	27.2805439
217	27.27727283
218	27.257035
219	27.24924283
220	27.24076572
221	27.20829431
222	27.19883838
223	27.17805517
224	27.17313679
225	27.15505073
226	27.14220559
227	27.12114926
228	27.09534365
229	27.05327815
230	27.03736362
231	27.01939259
232	27.01768672
233	27.00725871
234	27.00324161
235	26.99415732
236	26.98734043
237	26.98105435
238	26.96390655
239	26.90025416
240	26.89254561
241	26.87603651
242	26.86735886
243	26.84641639
244	26.83193844
245	26.81432813
246	26.81062473
247	26.79623773
248	26.76628842
249	26.72380546
250	26.7182316
251	26.7167431
252	26.68992494
253	26.68817957
254	26.68035521
255	26.67384077
256	26.66839125
257	26.66565679
258	26.65009226
259	26.59595027
260	26.59082532
261	26.58581997
