iter	RMSE
262	26.58426709
263	26.57435164
264	26.57128033
265	26.55961472
266	26.55246078
267	26.54957723
268	26.54276038
269	26.5308005
270	26.51383019
271	26.50409499
272	26.49804397
273	26.48495966
274	26.47876677
275	26.46759886
276	26.45978886
277	26.44992314
278	26.44559196
279	26.43212735
280	26.41972718
281	26.40778685
282	26.4051237
283	26.38764659
284	26.38597556
285	26.38455229
286	26.37367642
287	26.3601603
288	26.3518819
289	26.34924333
290	26.33292107
291	26.31533132
292	26.2952998
293	26.28017213
294	26.26902808
295	26.22354721
296	26.16305635
297	26.13725689
298	26.12691196
299	26.11232886
300	26.10148774
301	26.09209962
302	26.082837
303	26.02640286
304	26.02513144
305	26.01366122
306	26.00011648
307	25.98332986
308	25.9821561
309	25.95885514
310	25.949464
311	25.94834138
312	25.92839765
313	25.85138442
314	25.82650326
315	25.82545875
316	25.81880129
317	25.7971227
318	25.78075416
319	25.74056456
320	25.73803242
321	25.72767383
322	25.7165367
323	25.70677898
324	25.69749135
325	25.69015888
326	25.67242987
327	25.6372543
328	25.63010382
329	25.60794621
330	25.57064819
331	25.50671309
332	25.5014673
333	25.47759389
334	25.47097191
335	25.45493367
336	25.44797175
337	25.43363484
338	25.42650638
339	25.41410569
340	25.40193981
341	25.37210693
342	25.36426806
343	25.33319146
344	25.31972646
345	25.30632817
346	25.29648886
347	25.28567474
348	25.27938795
349	25.27396307
350	25.2690851
351	25.25811056
352	25.25234172
353	25.24338194
354	25.23607128
355	25.22357469
356	25.20876609
357	25.18511686
358	25.1801326
359	25.17207479
360	25.1630075
361	25.16108368
362	25.15493408
363	25.15279804
364	25.14624244
365	25.13637985
366	25.12985821
367	25.11494868
368	25.10730205
369	25.10146369
370	25.09631363
371	25.09162729
372	25.08764864
373	25.08282889
374	25.07939847
375	25.0638638
376	25.06169914
377	25.05969808
378	25.05692077
379	25.04455413
380	25.03877646
381	25.02709813
382	25.02524074
383	25.02351834
384	25.01919616
385	24.97379639
386	24.97219976
387	24.97079407
388	24.96178976
389	24.95861306
390	24.94654596
391	24.94519817
392	24.93878163
393	24.93752653
394	24.92574008
395	24.90843994
396	24.90729315
397	24.90417583
398	24.89845061
399	24.8869987
400	24.88435327
401	24.87359562
402	24.86282952
403	24.84812605
404	24.84534737
405	24.83308715
406	24.82994448
407	24.8170429
408	24.81317866
409	24.79014744
410	24.78783108
411	24.78104033
412	24.77166176
413	24.76657439
414	24.74971317
415	24.71354368
416	24.69855552
417	24.65514252
418	24.64072823
419	24.5516048
420	24.54198881
421	24.527078
422	24.52275246
423	24.51910575
424	24.49002821
425	24.48270682
426	24.46826137
427	24.4570278
428	24.4558321
429	24.44504058
430	24.4342261
431	24.42991422
432	24.42289775
433	24.41812739
434	24.41140271
435	24.40149985
436	24.37965167
437	24.37161398
438	24.36849118
439	24.35931047
440	24.27652204
441	24.27147325
442	24.26313673
443	24.25339095
444	24.24957012
445	24.23847987
446	24.19540651
447	24.18679213
448	24.17798441
449	24.12868802
450	24.11457598
451	24.10644784
452	24.08031446
453	24.06354985
454	24.05915426
455	24.05090714
456	24.04413494
457	24.02828871
458	24.01541809
459	24.00603144
460	24.00133083
461	23.98677749
462	23.97303657
463	23.92554699
464	23.9137804
465	23.90236694
466	23.89966128
467	23.89469549
468	23.89312189
469	23.87611262
470	23.86877319
471	23.86195344
472	23.85296557
473	23.84720716
474	23.84160702
475	23.82968903
476	23.81575379
477	23.78927669
478	23.7729409
479	23.76455332
480	23.76335215
481	23.7606204
482	23.74164246
483	23.73546739
484	23.71928389
485	23.71048254
486	23.70738689
487	23.70321963
488	23.69821636
489	23.6846965
490	23.67869731
491	23.6721953
492	23.65584295
493	23.65056174
494	23.64756944
495	23.64346802
496	23.62231473
497	23.61475433
498	23.61060511
499	23.60519939
